,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,Mx,Mz,phi,theta,is_strike,pitch_count,plate_-x,pfx_-x,spin_eff,true_spin,bauer_units,swing_miss
10,FF,2021-07-24,94.4,1.73,6.12,"Doolittle, Sean",602922,448281,,ball,13,Jose Rondon pops out to shortstop Kyle Farmer.,R,L,CIN,STL,B,,,2,2,2021,0.42,16.68,-0.3,1.42,657557.0,624641.0,668800.0,2,8,Top,,,571466,-6.1983920753288535,-137.1280954332992,-9.626663175604818,6.64194814782208,27.936515282692767,-12.701501568158092,3.41,1.59,,,,94.4,2127.0,6.2,633175,54.31,,,,,,,,68,5,4-Seam Fastball,5,3,3,5,Standard,Standard,160,0.0,0.334,,,,,0,2-2,0.3,-5.04,,,22.531779661016948,0
11,FF,2021-07-24,95.9,1.69,6.15,"Doolittle, Sean",602922,448281,,ball,11,Jose Rondon pops out to shortstop Kyle Farmer.,R,L,CIN,STL,B,,,1,2,2021,0.36,16.799999999999997,-0.4,4.28,657557.0,624641.0,668800.0,2,8,Top,,,571466,-6.301197015524235,-139.6046972296759,-2.546932504692582,6.009313887462285,27.855323604210596,-13.318202353214676,3.41,1.7,,,,96.1,2105.0,6.1,633175,54.37,,,,,,,,68,4,4-Seam Fastball,5,3,3,5,Standard,Standard,164,0.0,0.095,,,,,0,1-2,0.4,-4.32,,,21.94994786235662,0
12,FF,2021-07-24,93.8,1.84,6.11,"Doolittle, Sean",602922,448281,,foul,1,Jose Rondon pops out to shortstop Kyle Farmer.,R,L,CIN,STL,S,,,1,1,2021,0.5,19.56,-0.64,3.29,657557.0,624641.0,668800.0,2,8,Top,,,571466,-7.500173451542004,-136.37435651901794,-5.174618674856804,7.944181963124601,30.09576348219319,-10.811611431627806,3.41,1.56,,,,93.7,2288.0,6.3,633175,54.21,,,,,,,,68,3,4-Seam Fastball,5,3,3,5,Standard,Standard,161,0.0,-0.21,,,,,1,1-1,0.64,-6.0,,,24.392324093816633,0
13,FF,2021-07-24,93.2,1.72,6.13,"Doolittle, Sean",602922,448281,,swinging_strike,2,Jose Rondon pops out to shortstop Kyle Farmer.,R,L,CIN,STL,S,,,1,0,2021,0.5,19.919999999999998,-0.11,3.48,657557.0,624641.0,668800.0,2,8,Top,,,571466,-5.789430345427895,-135.5401147298019,-4.657030326746951,7.434931450903815,29.68618092139163,-10.947055917025176,3.41,1.56,,,,93.1,2266.0,6.3,633175,54.25,,,,,,,,68,2,4-Seam Fastball,5,3,3,5,Standard,Standard,160,0.0,-0.154,,,,,1,1-0,0.11,-6.0,,,24.313304721030043,1
14,FF,2021-07-24,93.6,1.87,6.2,"Doolittle, Sean",602922,448281,,ball,12,Jose Rondon pops out to shortstop Kyle Farmer.,R,L,CIN,STL,B,,,0,0,2021,0.56,19.56,0.09,4.12,657557.0,624641.0,668800.0,2,8,Top,,,571466,-5.786943043020143,-136.12504528295415,-3.212138897017676,8.207560286687958,30.803227806774025,-11.383336301965423,3.41,1.52,,,,93.3,2293.0,6.2,633175,54.28,,,,,,,,68,1,4-Seam Fastball,5,3,3,5,Standard,Standard,158,0.0,0.084,,,,,0,0-0,-0.09,-6.720000000000001,,,24.49786324786325,0
15,FF,2021-07-21,92.4,1.92,6.22,"Doolittle, Sean",542340,448281,strikeout,swinging_strike,12,Jonathan Villar strikes out swinging.,R,L,CIN,NYM,S,2.0,,0,2,2021,0.37,19.32,0.04,3.94,,,624413.0,2,6,Top,,,663886,-5.571654840581306,-134.4641393531454,-3.496831254476314,5.732440753029157,28.44375444537577,-12.100325099086724,3.37,1.53,,,,92.0,2244.0,6.0,633196,54.51,,,0.0,1.0,0.0,0.0,,49,3,4-Seam Fastball,0,7,7,0,Standard,Standard,160,0.001,-0.138,,,,,1,0-2,-0.04,-4.4399999999999995,,,24.285714285714285,1
16,FF,2021-07-21,91.8,1.68,6.26,"Doolittle, Sean",542340,448281,,swinging_strike,2,Jonathan Villar strikes out swinging.,R,L,CIN,NYM,S,,,0,1,2021,0.3,20.88,0.11,3.25,,,624413.0,2,6,Top,,,663886,-4.611588294049017,-133.51980066205329,-5.508153143734027,4.568862513123434,29.1177619832328,-10.37012965811421,3.37,1.53,,,,91.3,2264.0,6.0,633196,54.45,,,,,,,,49,2,4-Seam Fastball,0,7,7,0,Standard,Standard,167,0.0,-0.047,,,,,1,0-1,-0.11,-3.5999999999999996,,,24.66230936819172,1
17,FF,2021-07-21,91.2,1.67,6.19,"Doolittle, Sean",542340,448281,,foul,8,Jonathan Villar strikes out swinging.,R,L,CIN,NYM,S,,,0,0,2021,0.25,21.48,0.27,1.95,,,624413.0,2,6,Top,,,663886,-4.034602429871289,-132.5447857530294,-8.558975651200113,3.887484616704928,29.602253796985348,-9.428672153305769,3.37,1.53,,,,90.7,2261.0,6.1,633196,54.36,,,,,,,,49,1,4-Seam Fastball,0,7,7,0,Standard,Standard,162,0.0,-0.041,,,,,1,0-0,-0.27,-3.0,,,24.791666666666664,0
18,FF,2021-07-21,91.6,1.81,6.16,"Doolittle, Sean",624424,448281,out,hit_into_play,4,Michael Conforto lines out sharply to right fielder Aristides Aquino.,L,L,CIN,NYM,X,9.0,line_drive,2,1,2021,0.0,20.52,-0.32,2.44,,,624413.0,1,6,Top,194.05,81.11,663886,-5.341004795964404,-133.2201362724572,-7.166699211343574,1.180910607262886,29.605224257352837,-10.514287703853444,3.41,1.56,335.0,100.7,20.0,91.2,2239.0,6.1,633196,54.36,0.414,0.485,0.0,1.0,0.0,0.0,5.0,48,4,4-Seam Fastball,0,7,7,0,Infield shift,Standard,167,0.002,-0.363,,,,,1,2-1,0.32,-0.0,,,24.443231441048038,0
19,FF,2021-07-21,91.9,1.73,6.16,"Doolittle, Sean",624424,448281,,ball,13,Michael Conforto lines out sharply to right fielder Aristides Aquino.,L,L,CIN,NYM,B,,,1,1,2021,0.15,19.080000000000002,-0.94,2.12,,,624413.0,1,6,Top,,,663886,-7.048145718979479,-133.53430601250014,-7.785838413692294,3.3296818193218267,29.37292031766605,-11.672917946854891,2.93,1.33,,,,91.5,2204.0,6.2,633196,54.33,,,,,,,,48,3,4-Seam Fastball,0,7,7,0,Infield shift,Standard,169,0.0,0.061,,,,,0,1-1,0.94,-1.7999999999999998,,,23.982589771490748,0
