,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,is_strike,pitch_count,plate_-x,pfx_-x,swing_miss
10,SI,2019-06-22,101.5,-2.17,6.53,"Hicks, Jordan",594777,663855,out,hit_into_play,2.0,Kole Calhoun flies out to left fielder Marcell Ozuna.,R,L,R,STL,LAA,X,7.0,fly_ball,3,1,2019,-1.18,11.28,0.27,2.84,,,,2,8,Top,62.77,121.5,425877,9.51029209503356,-147.39502205608,-7.20572099401388,-19.1437881605267,33.0320176961597,-17.133776096968,3.09,1.5,238.0,89.8,58.0,101.0,2091.0,6.0,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.49,0.013,0.02,0.0,1.0,0.0,0.0,3.0,59,5,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,231.0,0.013,-0.172,1,3-1,-0.27,14.16,0
11,SL,2019-06-22,86.3,-2.54,6.31,"Hicks, Jordan",594777,663855,,ball,9.0,Kole Calhoun flies out to left fielder Marcell Ozuna.,R,L,R,STL,LAA,B,,,2,1,2019,1.02,-6.36,0.5,1.87,,,,2,8,Top,,,425877,5.14911441683091,-125.537841208273,-3.25695867109346,9.5776067474716,25.516614392501,-37.21667050453,2.98,1.42,,,,85.6,2594.0,5.9,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.64,,,,,,,,59,4,Slider,4,2,2,4,2,4,2,4,Standard,Standard,63.0,0.0,0.04,0,2-1,-0.5,-12.24,0
12,SL,2019-06-22,84.8,-2.42,6.36,"Hicks, Jordan",594777,663855,,ball,14.0,Kole Calhoun flies out to left fielder Marcell Ozuna.,R,L,R,STL,LAA,B,,,1,1,2019,0.82,-8.16,0.57,1.17,,,,2,8,Top,,,425877,5.34188447719084,-123.240903727946,-4.38891875992835,7.01731865696443,25.8415033849828,-38.2356796898873,3.04,1.5,,,,83.8,2474.0,5.8,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.7,,,,,,,,59,3,Slider,4,2,2,4,2,4,2,4,Standard,Standard,51.0,0.0,0.024,0,1-1,-0.57,-9.84,0
13,SI,2019-06-22,100.8,-2.24,6.38,"Hicks, Jordan",594777,663855,,foul,2.0,Kole Calhoun flies out to left fielder Marcell Ozuna.,R,L,R,STL,LAA,S,,,1,0,2019,-1.25,11.76,-0.15,3.15,,,,2,8,Top,,,425877,8.79262417325408,-146.453069149531,-5.98310683403131,-20.1437875036964,35.2157695907488,-16.7798977345372,3.07,1.5,241.0,84.1,46.0,100.8,2084.0,6.4,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.1,,,,,,,,59,2,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,232.0,0.0,-0.021,1,1-0,0.15,15.0,0
14,SL,2019-06-22,85.8,-2.68,6.28,"Hicks, Jordan",594777,663855,,ball,3.0,Kole Calhoun flies out to left fielder Marcell Ozuna.,R,L,R,STL,LAA,B,,,0,0,2019,1.06,0.0,0.78,3.11,,,,2,8,Top,,,425877,6.04842365743218,-124.823931241503,-1.26772001075831,9.70987083161976,23.4931785179996,-32.2040592687944,3.04,1.5,,,,85.1,2456.0,5.7,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.81,,,,,,,,59,1,Slider,4,2,2,4,2,4,2,4,Standard,Standard,90.0,0.0,0.015,0,0-0,-0.78,-12.72,0
15,SI,2019-06-22,100.5,-2.34,6.58,"Hicks, Jordan",457708,663855,home_run,hit_into_play,3.0,Justin Upton homers (3) on a fly ball to right field.,R,R,R,STL,LAA,X,,fly_ball,3,2,2019,-1.14,10.8,0.79,2.92,,,,2,8,Top,232.87,82.65,425877,11.2128169267561,-145.742739696456,-6.83136898645018,-18.5338445365468,31.4856412858425,-18.1554213603595,3.37,1.67,371.0,100.6,27.0,99.9,2140.0,5.9,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.56,0.793,1.38,2.0,1.0,0.0,3.0,6.0,58,7,Sinker,4,1,1,4,2,4,2,4,Standard,Standard,232.0,-0.04,0.977,1,3-2,-0.79,13.68,0
16,SI,2019-06-22,99.9,-2.26,6.47,"Hicks, Jordan",457708,663855,,ball,14.0,Justin Upton homers (3) on a fly ball to right field.,R,R,R,STL,LAA,B,,,2,2,2019,-1.21,10.32,1.84,2.05,,,,2,8,Top,,,425877,14.0235450318879,-144.645979243293,-8.77374516792232,-19.8969917692641,29.8742964024875,-18.4484773293098,3.38,1.67,,,,99.8,2118.0,6.2,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.25,,,,,,,,58,6,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,234.0,0.0,0.038,0,2-2,-1.84,14.52,0
17,SL,2019-06-22,85.3,-2.48,6.36,"Hicks, Jordan",457708,663855,,foul,14.0,Justin Upton homers (3) on a fly ball to right field.,R,R,R,STL,LAA,S,,,2,2,2019,0.84,-4.4399999999999995,0.87,2.5,,,,2,8,Top,,,425877,6.1531768072967,-124.13584159961,-2.08680908107615,7.36120675466832,22.744013133589,-35.7662532707894,3.39,1.67,,,,84.5,2624.0,5.6,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.93,,,,,,,,58,5,Slider,4,1,1,4,1,4,1,4,Standard,Standard,66.0,0.0,0.0,1,2-2,-0.87,-10.08,0
18,SI,2019-06-22,101.7,-1.99,6.65,"Hicks, Jordan",457708,663855,,ball,12.0,Justin Upton homers (3) on a fly ball to right field.,R,R,R,STL,LAA,B,,,1,2,2019,-1.22,11.16,0.37,4.07,,,,2,8,Top,,,425877,9.43001878168172,-147.727799323041,-4.14236236695368,-19.8318353365382,32.4574981157579,-17.9342265964372,3.44,1.67,,,,101.2,1962.0,5.9,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.56,,,,,,,,58,4,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,233.0,0.0,0.019,0,1-2,-0.37,14.64,0
19,SI,2019-06-22,98.9,-2.5,6.42,"Hicks, Jordan",457708,663855,,foul,11.0,Justin Upton homers (3) on a fly ball to right field.,R,R,R,STL,LAA,S,,,1,1,2019,-1.13,11.040000000000001,-0.97,3.28,,,,2,8,Top,,,425877,6.70965704575323,-143.901528044672,-5.24075209131693,-16.9510241902357,29.4185867106637,-18.6370160357365,3.4,1.67,164.0,75.6,19.0,98.6,2010.0,5.9,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.64,,,,,,,,58,3,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,231.0,0.0,-0.028,1,1-1,0.97,13.559999999999999,0
