,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,is_strike,pitch_count,plate_-x,pfx_-x,bauer_units,swing_miss
10,FF,2021-10-01,96.1,-2.9,4.88,"Kimbrel, Craig",570731,518886,,swinging_strike,5.0,Jonathan Schoop strikes out swinging.,R,R,R,CWS,DET,S,,,0,1,2021,-0.79,15.120000000000001,0.26,2.72,,,,0,8,Top,,,518735,10.18534643989699,-139.63451405648,-2.964360730224714,-12.58915785808941,31.26569684803807,-15.246774618570322,3.41,1.56,,,,96.4,2362.0,6.5,632274,518886,518735,547989,514917,660162,641313,571740,673357,544725,53.97,,,,,,,,70,2,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,221.0,0.0,-0.052,1,0-1,-0.26,9.48,24.57856399583767,1
11,FF,2021-10-01,96.0,-2.99,4.89,"Kimbrel, Craig",570731,518886,,called_strike,6.0,Jonathan Schoop strikes out swinging.,R,R,R,CWS,DET,S,,,0,0,2021,-0.97,16.44,0.29,2.83,,,,0,8,Top,,,518735,10.910810968247995,-139.42721998145987,-2.9547591490042038,-15.047972103092462,30.368410695225585,-13.84088343966913,3.71,1.75,,,,96.5,2366.0,6.6,632274,518886,518735,547989,514917,660162,641313,571740,673357,544725,53.88,,,,,,,,70,1,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,229.0,0.0,-0.038,1,0-0,-0.29,11.64,24.645833333333332,0
12,FF,2021-09-26,95.3,-3.14,4.78,"Kimbrel, Craig",680911,518886,strikeout,foul,6.0,Owen Miller strikes out on a foul tip.,R,R,R,CLE,CWS,S,2.0,,2,2,2021,-0.82,17.28,0.52,2.62,,,,2,8,Bot,,,518735,11.51263504235366,-138.32946737434645,-3.256533407655075,-13.122013057393346,30.397770973421792,-13.11814226608985,3.37,1.53,,,,95.6,2286.0,6.6,632330,518886,518735,657757,544725,660162,641313,650391,571740,683734,53.94,,,0.0,1.0,0.0,0.0,,75,6,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,222.0,-0.008,-0.091,1,2-2,-0.52,9.84,23.98740818467996,0
13,KC,2021-09-26,85.5,-3.02,4.84,"Kimbrel, Craig",680911,518886,,ball,14.0,Owen Miller strikes out on a foul tip.,R,R,R,CLE,CWS,B,,,1,2,2021,0.73,-5.04,1.29,0.67,,,,2,8,Bot,,,518735,8.694937950181632,-124.36098819074952,-2.7371305921476736,5.976934079402853,23.74054165361049,-36.21223251562662,3.22,1.33,,,,85.9,2569.0,6.4,632330,518886,518735,657757,544725,660162,641313,650391,571740,683734,54.05,,,,,,,,75,5,Knuckle Curve,2,5,2,5,5,2,2,5,Standard,Standard,51.0,0.0,0.018,0,1-2,-1.29,-8.76,30.046783625730995,0
14,FF,2021-09-26,95.5,-3.18,4.7,"Kimbrel, Craig",680911,518886,,foul,3.0,Owen Miller strikes out on a foul tip.,R,R,R,CLE,CWS,S,,,1,2,2021,-1.15,14.76,0.28,3.33,,,,2,8,Bot,,,518735,11.73652608677987,-138.53455326139695,-0.6977616768974124,-17.41665545626657,31.29237201958325,-16.45207025718164,3.37,1.53,338.0,96.0,35.0,95.9,2350.0,6.7,632330,518886,518735,657757,544725,660162,641313,650391,571740,683734,53.8,,,,,,,,75,4,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,232.0,0.0,0.0,1,1-2,-0.28,13.799999999999999,24.607329842931936,0
15,FF,2021-09-26,95.1,-3.06,4.81,"Kimbrel, Craig",680911,518886,,swinging_strike,1.0,Owen Miller strikes out on a foul tip.,R,R,R,CLE,CWS,S,,,1,1,2021,-1.12,13.799999999999999,-0.66,3.02,,,,2,8,Bot,,,518735,8.841940653612731,-138.2924674104814,-1.6006075261515198,-16.31857142882041,30.46440862980114,-17.305826947534214,3.37,1.53,,,,95.5,2275.0,6.5,632330,518886,518735,657757,544725,660162,641313,650391,571740,683734,53.99,,,,,,,,75,3,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,230.0,0.0,-0.027,1,1-1,0.66,13.440000000000001,23.92218717139853,1
16,FF,2021-09-26,95.9,-3.16,4.73,"Kimbrel, Craig",680911,518886,,foul,2.0,Owen Miller strikes out on a foul tip.,R,R,R,CLE,CWS,S,,,1,0,2021,-0.94,13.080000000000002,-0.16,3.26,,,,2,8,Bot,,,518735,10.077829799056552,-139.3398333580996,-0.7570434805314656,-14.412662354307264,30.16450975289176,-17.938996842031038,3.37,1.53,266.0,79.0,35.0,96.4,2312.0,6.6,632330,518886,518735,657757,544725,660162,641313,650391,571740,683734,53.92,,,,,,,,75,2,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,226.0,0.0,-0.02,1,1-0,0.16,11.28,24.108446298227317,0
17,KC,2021-09-26,85.5,-3.17,4.73,"Kimbrel, Craig",680911,518886,,ball,14.0,Owen Miller strikes out on a foul tip.,R,R,R,CLE,CWS,B,,,0,0,2021,0.95,-3.96,2.28,0.4,,,,2,8,Bot,,,518735,10.987353470488191,-124.15588985278936,-3.241458540868192,7.610636260847741,24.65944732606777,-35.07728474306725,3.26,1.37,,,,85.9,2588.0,6.7,632330,518886,518735,657757,544725,660162,641313,650391,571740,683734,53.84,,,,,,,,75,1,Knuckle Curve,2,5,2,5,5,2,2,5,Standard,Standard,50.0,0.0,0.016,0,0-0,-2.28,-11.399999999999999,30.269005847953217,0
18,FF,2021-09-26,95.9,-3.13,4.79,"Kimbrel, Craig",644374,518886,out,hit_into_play,5.0,Yu Chang grounds out sharply to first baseman Gavin Sheets.,R,R,R,CLE,CWS,X,3.0,ground_ball,0,1,2021,-1.0,12.120000000000001,0.27,2.27,,,,1,8,Bot,154.81,165.64,518735,11.253836752711402,-139.22901640994192,-3.3361451818857257,-15.41953085756822,29.99529386220085,-18.474746046417494,3.41,1.56,30.0,103.1,-2.0,96.2,2350.0,6.5,632330,518886,518735,657757,544725,660162,641313,650391,571740,683734,54.02,0.369,0.332,0.0,1.0,0.0,0.0,4.0,74,2,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,225.0,-0.015,-0.136,1,0-1,-0.27,12.0,24.504692387904065,0
19,FF,2021-09-26,95.8,-3.12,4.77,"Kimbrel, Craig",644374,518886,,called_strike,9.0,Yu Chang grounds out sharply to first baseman Gavin Sheets.,R,R,R,CLE,CWS,S,,,0,0,2021,-0.87,15.36,0.46,2.08,,,,1,8,Bot,,,518735,11.449557726146502,-138.9851350983746,-4.395652131029213,-13.80296721094414,30.90623981326424,-14.709476640943576,3.43,1.53,,,,96.1,2386.0,6.6,632330,518886,518735,657757,544725,660162,641313,650391,571740,683734,53.88,,,,,,,,74,1,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,226.0,0.0,-0.027,1,0-0,-0.46,10.44,24.90605427974948,0
20,FF,2021-09-26,95.4,-3.14,4.76,"Kimbrel, Craig",623912,518886,home_run,hit_into_play,12.0,Harold Ramirez homers (7) on a fly ball to right field.,R,R,R,CLE,CWS,X,,fly_ball,0,1,2021,-0.91,13.559999999999999,0.13,3.46,,,,1,8,Bot,220.19,97.92,518735,10.691518634691782,-138.64156957000768,-0.344205423030868,-14.10297717777966,30.1069524096516,-17.685936801221185,3.3,1.5,341.0,96.7,29.0,96.0,2395.0,6.6,632330,518886,518735,657757,544725,660162,641313,650391,571740,683734,53.88,0.343,0.573,2.0,1.0,0.0,3.0,5.0,73,2,4-Seam Fastball,1,5,1,5,5,2,2,5,Standard,Standard,227.0,0.029,1.027,1,0-1,-0.13,10.92,25.10482180293501,0
21,KC,2021-09-26,84.4,-3.12,4.98,"Kimbrel, Craig",623912,518886,,swinging_strike,14.0,Harold Ramirez homers (7) on a fly ball to right field.,R,R,R,CLE,CWS,S,,,0,0,2021,1.13,-8.52,0.46,1.09,,,,1,8,Bot,,,518735,6.117029763759737,-122.80720845616074,-1.260995507514648,10.199128239628314,24.51749348265815,-39.359501954895386,3.3,1.5,,,,84.9,2549.0,6.6,632330,518886,518735,657757,544725,660162,641313,650391,571740,683734,53.88,,,,,,,,73,1,Knuckle Curve,1,5,1,5,5,1,1,5,Standard,Standard,53.0,0.0,-0.027,1,0-0,-0.46,-13.559999999999999,30.201421800947866,1
22,FF,2021-09-26,96.1,-2.99,4.84,"Kimbrel, Craig",656252,518886,out,hit_into_play,2.0,Bobby Bradley flies out to left fielder Eloy Jimenez.,R,L,R,CLE,CWS,X,7.0,fly_ball,1,2,2021,-0.95,12.48,0.22,2.9,,,,0,8,Bot,96.59,75.38,518735,10.68438672966622,-139.66974393884834,-1.9450594995878712,-14.755479029383528,30.01182649107166,-18.25227447041576,3.41,1.56,315.0,92.4,40.0,96.6,2332.0,6.5,632330,518886,518735,657757,544725,660162,641313,650391,571740,683734,53.97,0.017,0.033,0.0,1.0,0.0,0.0,3.0,72,4,4-Seam Fastball,1,5,1,5,5,1,1,5,Infield shift,Standard,227.0,-0.014,-0.173,1,1-2,-0.22,11.399999999999999,24.266389177939647,0
23,FF,2021-09-26,95.7,-3.17,4.77,"Kimbrel, Craig",656252,518886,,ball,11.0,Bobby Bradley flies out to left fielder Eloy Jimenez.,R,L,R,CLE,CWS,B,,,0,2,2021,-1.05,13.080000000000002,-1.5,4.73,,,,0,8,Bot,,,518735,6.785154235721696,-139.22312951070862,3.058270959408788,-15.167345529120125,31.58958619461606,-18.893571212330038,3.28,1.53,,,,95.8,2366.0,6.4,632330,518886,518735,657757,544725,660162,641313,650391,571740,683734,54.13,,,,,,,,72,3,4-Seam Fastball,1,5,1,5,5,1,1,5,Infield shift,Standard,223.0,0.0,0.022,0,0-2,1.5,12.600000000000001,24.723092998955067,0
24,KC,2021-09-26,84.5,-3.15,4.93,"Kimbrel, Craig",656252,518886,,called_strike,7.0,Bobby Bradley flies out to left fielder Eloy Jimenez.,R,L,R,CLE,CWS,S,,,0,1,2021,1.18,-7.68,-0.39,1.51,,,,0,8,Bot,,,518735,4.070178181504208,-123.02964371103413,-0.3177769736024957,11.191580696951322,24.76788708191491,-38.78030420863646,3.27,1.5,,,,84.8,2684.0,6.5,632330,518886,518735,657757,544725,660162,641313,650391,571740,683734,54.0,,,,,,,,72,2,Knuckle Curve,1,5,1,5,5,1,1,5,Infield shift,Standard,61.0,0.0,-0.052,1,0-1,0.39,-14.16,31.763313609467456,0
25,KC,2021-09-26,84.7,-3.32,4.9,"Kimbrel, Craig",656252,518886,,swinging_strike,14.0,Bobby Bradley flies out to left fielder Eloy Jimenez.,R,L,R,CLE,CWS,S,,,0,0,2021,1.02,-9.959999999999999,0.97,1.39,,,,0,8,Bot,,,518735,7.99294344383889,-123.18633074700182,-0.2095709641951568,8.904991740474587,23.77922824660661,-40.77802956122945,3.41,1.56,,,,85.0,2610.0,6.5,632330,518886,518735,657757,544725,660162,641313,650391,571740,683734,54.03,,,,,,,,72,1,Knuckle Curve,1,5,1,5,5,1,1,5,Infield shift,Standard,57.0,0.0,-0.038,1,0-0,-0.97,-12.24,30.814639905548994,1
