,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,is_strike,pitch_count,plate_-x,pfx_-x,swing_miss
10,FF,2021-10-03,94.4,-1.56,6.52,"Stanton, Giancarlo",519317,608379,,called_strike,3.0,"Giancarlo Stanton grounds out softly, catcher Mike Zunino to first baseman Ji-Man Choi.",R,R,R,NYY,TB,S,,,0,0,2021,-0.55,20.16,0.65,3.26,,,,0,2,Bot,,,572287,7.029373926438909,-137.2074773711945,-6.5604220542132845,-8.542653082604756,31.877780432100263,-9.687852068365702,3.84,1.91,,,,95.0,2212.0,6.8,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.69,,,,,,,,11,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,206.0,0.0,-0.038,1,0-0,-0.65,6.6000000000000005,0
11,SL,2021-10-03,79.8,-2.39,5.15,"Stanton, Giancarlo",519317,543521,out,hit_into_play,8.0,Giancarlo Stanton pops out to first baseman Ji-Man Choi.,R,R,R,NYY,TB,X,3.0,popup,1,2,2021,1.78,-0.72,0.22,1.81,,,,1,7,Bot,124.41,175.84,572287,2.3984999929046724,-116.1993082539544,-0.4888359551979836,15.595876691427486,23.062283485397803,-32.80122834113108,3.66,1.68,66.0,71.1,73.0,80.2,2933.0,6.7,632239,543521,572287,596847,664040,621563,677551,640457,595281,668227,53.85,0.003,0.004,0.0,1.0,0.0,0.0,3.0,50,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,57.0,-0.028,-0.114,1,1-2,-0.22,-21.36,0
12,FC,2021-10-03,89.5,-2.15,5.38,"Stanton, Giancarlo",519317,543521,,foul,2.0,Giancarlo Stanton pops out to first baseman Ji-Man Choi.,R,R,R,NYY,TB,S,,,1,1,2021,0.12,5.16,0.23,3.11,,,,1,7,Bot,,,572287,5.639120852997959,-130.37255160832922,-0.514635660937761,0.260192088802095,26.33155271086744,-27.387369067340654,3.66,1.68,316.0,98.6,44.0,90.1,2440.0,6.5,632239,543521,572287,596847,664040,621563,677551,640457,595281,668227,53.96,,,,,,,,50,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,178.0,0.0,-0.043,1,1-1,-0.23,-1.44,0
13,FC,2021-10-03,88.4,-2.19,5.47,"Stanton, Giancarlo",519317,543521,,ball,11.0,Giancarlo Stanton pops out to first baseman Ji-Man Choi.,R,R,R,NYY,TB,B,,,0,1,2021,0.35,5.88,-0.15,4.72,,,,1,7,Bot,,,572287,4.249306618135552,-128.71144346023547,3.215963447744851,3.116457523834701,25.304189820782565,-27.522970410763435,3.71,1.79,,,,89.1,2485.0,6.6,632239,543521,572287,596847,664040,621563,677551,640457,595281,668227,53.94,,,,,,,,50,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,174.0,0.0,0.021,0,0-1,0.15,-4.199999999999999,0
14,SL,2021-10-03,80.5,-2.49,5.13,"Stanton, Giancarlo",519317,543521,,called_strike,8.0,Giancarlo Stanton pops out to first baseman Ji-Man Choi.,R,R,R,NYY,TB,S,,,0,0,2021,1.28,-2.16,-0.03,2.49,,,,1,7,Bot,,,572287,3.051826920281496,-117.23593398782464,1.1867553977606076,11.168231168323238,22.80414805536263,-34.31455405123839,3.89,1.89,,,,80.7,2947.0,6.5,632239,543521,572287,596847,664040,621563,677551,640457,595281,668227,54.03,,,,,,,,50,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,55.0,0.0,-0.027,1,0-0,0.03,-15.36,0
15,FF,2021-10-02,97.4,-1.68,5.52,"Stanton, Giancarlo",519317,669358,out,hit_into_play,11.0,Giancarlo Stanton flies out to shortstop Wander Franco.,R,R,R,NYY,TB,X,6.0,fly_ball,2,0,2021,-1.25,14.76,-1.03,3.64,,,592450.0,1,1,Bot,101.8,126.89,572287,4.6727697692494665,-141.70971186773588,-2.354165653920209,-17.936403828838007,33.29370219657696,-15.327750951089383,3.66,1.68,193.0,68.5,49.0,98.1,2424.0,6.8,632259,669358,572287,642336,664040,650490,677551,640457,622534,668227,53.73,0.209,0.202,0.0,1.0,0.0,0.0,3.0,10,3,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,218.0,-0.029,-0.423,1,2-0,1.03,15.0,0
16,FF,2021-10-02,96.5,-1.61,5.56,"Stanton, Giancarlo",519317,669358,,ball,11.0,Giancarlo Stanton flies out to shortstop Wander Franco.,R,R,R,NYY,TB,B,,,1,0,2021,-1.11,13.799999999999999,-0.11,3.98,,,592450.0,1,1,Bot,,,572287,6.54934270459771,-140.43763780085254,-1.2659926877431158,-16.17490016832849,32.30068334679431,-16.830669675032496,3.82,1.85,,,,97.0,2322.0,6.6,632259,669358,572287,642336,664040,650490,677551,640457,622534,668227,53.92,,,,,,,,10,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,214.0,0.0,0.07,0,1-0,0.11,13.32,0
17,CU,2021-10-02,81.5,-1.63,5.65,"Stanton, Giancarlo",519317,669358,,ball,11.0,Giancarlo Stanton flies out to shortstop Wander Franco.,R,R,R,NYY,TB,B,,,0,0,2021,0.58,-11.399999999999999,-2.17,5.03,,,592450.0,1,1,Bot,,,572287,-2.311849139065498,-118.33720736174614,7.066165649464952,5.870638551849325,23.044353140196304,-42.72920538033709,3.89,1.82,,,,81.3,2601.0,6.3,632259,669358,572287,642336,664040,650490,677551,640457,622534,668227,54.19,,,,,,,,10,1,Curveball,1,3,1,3,3,1,1,3,Standard,Standard,39.0,0.0,0.046,0,0-0,2.17,-6.959999999999999,0
18,FF,2021-10-02,96.7,-1.98,6.01,"Stanton, Giancarlo",519317,672715,strikeout,swinging_strike,6.0,Giancarlo Stanton strikes out swinging.,R,R,R,NYY,TB,S,2.0,,1,2,2021,-0.21,19.32,0.41,2.75,,,,0,6,Bot,,,572287,6.847151399541608,-140.55336605463486,-6.805631035691683,-4.339301319649217,32.2753152123287,-9.445726419207324,3.66,1.68,,,,96.6,2469.0,6.4,632259,672715,572287,642336,664040,650490,677551,640457,622534,668227,54.15,,,0.0,1.0,0.0,0.0,,53,5,4-Seam Fastball,2,8,2,8,8,2,2,8,Standard,Standard,206.0,-0.007,-0.173,1,1-2,-0.41,2.52,1
19,FF,2021-10-02,97.1,-1.9,6.04,"Stanton, Giancarlo",519317,672715,,foul,5.0,Giancarlo Stanton strikes out swinging.,R,R,R,NYY,TB,S,,,1,2,2021,-0.57,17.88,0.19,2.99,,,,0,6,Bot,,,572287,6.901787557374043,-141.16629592601714,-6.099941931892866,-9.159570210357876,30.130439603791974,-10.966340661188532,3.66,1.68,219.0,77.4,47.0,97.4,2479.0,6.3,632259,672715,572287,642336,664040,650490,677551,640457,622534,668227,54.15,,,,,,,,53,4,4-Seam Fastball,2,8,2,8,8,2,2,8,Standard,Standard,199.0,0.0,0.0,1,1-2,-0.19,6.84,0
