,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,is_strike,pitch_count,plate_-x,pfx_-x,swing_miss
10,SI,2021-09-29,91.3,-1.95,5.03,"Nola, Aaron",594807,605400,,foul,1,Adam Duvall pops out to third baseman Ronald Torreyes.,R,R,R,ATL,PHI,S,,,1,0,2021,-1.19,214.56,-0.72,2.84,,,,1,5,Bot,,,592663,5.720127041130125,-132.9064250792369,-1.3796754447732742,-15.288235246012247,28.4607760891289,-22.49128641835976,3.41,1.56,78.0,62.9,81.0,92.4,2236.0,6.9,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.59,,,,,,,,41,2,Sinker,3,1,3,1,1,3,3,1,Infield shift,Standard,235,0.0,-0.032,1,1-0,-0.51,108.0,0
11,KC,2021-09-29,78.2,-1.96,5.17,"Nola, Aaron",594807,605400,,ball,13,Adam Duvall pops out to third baseman Ronald Torreyes.,R,R,R,ATL,PHI,B,,,0,0,2021,1.18,217.44,-1.25,2.02,,,,1,5,Bot,,,592663,-0.6499690921006828,-113.8709851690727,1.5595072141954696,10.288296842294503,23.13623627460065,-39.26971152065844,3.31,1.4,,,,78.5,2541.0,6.7,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.77,,,,,,,,41,1,Knuckle Curve,3,1,3,1,1,3,3,1,Infield shift,Standard,58,0.0,0.026,0,0-0,0.41,126.72,0
12,CH,2021-09-29,84.7,-2.13,5.05,"Nola, Aaron",663586,605400,out,hit_into_play,8,Austin Riley lines out to center fielder Odubel Herrera.,R,R,R,ATL,PHI,X,8.0,line_drive,0,1,2021,-1.18,4.32,-0.24,1.95,,,,0,5,Bot,116.39,51.47,592663,6.756618990044611,-123.1109670667294,-0.999474944681816,-13.325353281344675,25.42287803970629,-31.50567374146946,3.49,1.6,365.0,100.0,22.0,84.6,1596.0,6.4,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,54.13,0.474,0.637,0.0,1.0,0.0,0.0,5.0,40,2,Changeup,3,1,3,1,1,3,3,1,Standard,Standard,254,-0.014,-0.203,1,0-1,-0.77,-64.80000000000001,0
13,SI,2021-09-29,92.2,-2.08,5.03,"Nola, Aaron",663586,605400,,called_strike,9,Austin Riley lines out to center fielder Odubel Herrera.,R,R,R,ATL,PHI,S,,,0,0,2021,-1.35,-175.68,0.56,2.11,,,,0,5,Bot,,,592663,9.741954053332057,-133.86763523841427,-3.2426115767646757,-18.279721899180075,28.7957168146909,-22.556212931427787,3.49,1.62,,,,93.2,2179.0,7.0,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.51,,,,,,,,40,1,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,226,0.0,-0.038,1,0-0,-1.72,-146.88,0
14,FF,2021-09-29,93.9,-2.09,5.08,"Nola, Aaron",645277,605400,out,hit_into_play,12,Ozzie Albies pops out to second baseman Jean Segura.,R,L,R,ATL,PHI,X,4.0,popup,0,1,2021,-1.23,2.88,0.07,3.67,,621020.0,624585.0,2,4,Bot,180.28,148.62,592663,8.397281171922772,-136.54714668727547,-0.4881355841451557,-17.281649276563883,30.656673614565836,-17.745904738751783,3.26,1.48,185.0,85.0,60.0,94.7,2446.0,6.9,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.64,0.02,0.019,0.0,1.0,0.0,0.0,3.0,36,2,4-Seam Fastball,3,1,3,1,1,3,3,1,Infield shift,Standard,235,-0.028,-0.375,1,0-1,-1.27,-80.64000000000001,0
15,FF,2021-09-29,94.4,-1.88,5.04,"Nola, Aaron",645277,605400,,swinging_strike,9,Ozzie Albies pops out to second baseman Jean Segura.,R,L,R,ATL,PHI,S,,,0,0,2021,-1.1,201.59999999999997,0.4,1.55,,621020.0,624585.0,2,4,Bot,,,592663,8.504677579672025,-137.1360325617794,-6.068563478752658,-15.746391132254807,31.22559040177629,-16.049852252796196,3.26,1.48,,,,95.5,2369.0,7.1,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.43,,,,,,,,36,1,4-Seam Fastball,3,1,3,1,1,3,3,1,Infield shift,Standard,232,0.0,-0.075,1,0-0,0.33,195.84,1
16,SI,2021-09-29,94.3,-1.89,5.06,"Nola, Aaron",518692,605400,strikeout,swinging_strike,5,Freddie Freeman strikes out swinging.,R,L,R,ATL,PHI,S,2.0,,0,2,2021,-1.58,15.84,-0.12,2.97,,621020.0,624585.0,1,4,Bot,,,592663,8.23402578867999,-137.11207617600883,-1.4253971898510942,-21.747986786519814,31.24517204661396,-22.42463905915441,3.58,1.68,,,,95.4,2253.0,7.0,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.48,,,0.0,1.0,0.0,0.0,,35,4,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,228,-0.028,-0.303,1,0-2,-0.88,-27.360000000000003,1
17,FF,2021-09-29,95.4,-1.89,5.14,"Nola, Aaron",518692,605400,,foul,2,Freddie Freeman strikes out swinging.,R,L,R,ATL,PHI,S,,,0,2,2021,-1.16,110.88,0.12,3.31,,621020.0,624585.0,1,4,Bot,,,592663,8.002566285921333,-138.62357434911036,-2.145583728958269,-16.75622584575115,34.12606846118353,-14.815474783273404,3.58,1.68,209.0,72.4,45.0,96.1,2309.0,7.0,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.49,,,,,,,,35,3,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,231,0.0,0.0,1,0-2,0.23,224.64,0
18,FF,2021-09-29,94.5,-1.94,5.07,"Nola, Aaron",518692,605400,,swinging_strike,3,Freddie Freeman strikes out swinging.,R,L,R,ATL,PHI,S,,,0,1,2021,-1.3,25.92,0.42,3.31,,621020.0,624585.0,1,4,Bot,,,592663,9.112889457817955,-137.33314501001504,-1.8380719570940636,-18.53968864925456,31.757476967202454,-15.268235489059652,3.58,1.68,,,,95.1,2399.0,6.8,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.67,,,,,,,,35,2,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,231,0.0,-0.111,1,0-1,-1.17,-24.48,1
19,CH,2021-09-29,87.6,-2.11,4.91,"Nola, Aaron",518692,605400,,called_strike,8,Freddie Freeman strikes out swinging.,R,L,R,ATL,PHI,S,,,0,0,2021,-1.29,48.96,0.09,2.12,,621020.0,624585.0,1,4,Bot,,,592663,8.06993479051177,-127.22103475687082,-2.324958471453364,-15.729294847129417,27.901499096907852,-22.626299101157624,3.68,1.78,,,,88.0,1637.0,6.8,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.68,,,,,,,,35,1,Changeup,3,1,3,1,1,3,3,1,Standard,Standard,252,0.0,-0.072,1,0-0,-1.3,-64.80000000000001,0
20,SI,2021-09-29,92.8,-1.93,5.07,"Nola, Aaron",624585,605400,walk,ball,14,Jorge Soler walks.,R,R,R,ATL,PHI,B,,,3,0,2021,-1.49,211.68,0.91,0.97,,621020.0,,1,4,Bot,,,592663,10.630163742940276,-134.67002149825595,-6.487104304130292,-20.459775703204052,29.233293337107053,-21.075171251527323,3.67,1.78,,,,93.7,2162.0,7.0,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.51,,,0.7,1.0,0.0,0.0,,34,4,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,234,0.01,0.119,0,3-0,1.5,168.48,0
21,SI,2021-09-29,93.4,-1.91,5.0,"Nola, Aaron",624585,605400,,ball,14,Jorge Soler walks.,R,R,R,ATL,PHI,B,,,2,0,2021,-1.56,109.44000000000001,1.12,1.62,,621020.0,,1,4,Bot,,,592663,11.354918240530296,-135.42654465766864,-4.344040190947312,-21.67600122152088,30.78045756986749,-23.53215052114766,3.7,1.81,,,,94.1,2224.0,7.0,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.49,,,,,,,,34,3,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,227,0.0,0.084,0,2-0,-0.23,218.88000000000002,0
22,FF,2021-09-29,93.9,-1.94,5.04,"Nola, Aaron",624585,605400,,ball,14,Jorge Soler walks.,R,R,R,ATL,PHI,B,,,1,0,2021,-1.22,234.71999999999997,1.21,1.6,,621020.0,,1,4,Bot,,,592663,10.970323217012778,-136.12486231243946,-5.971460230573037,-17.629547194437535,31.465668560441056,-15.297296945377726,3.63,1.67,,,,94.5,2293.0,7.0,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.54,,,,,,,,34,2,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,230,0.0,0.048,0,1-0,0.26,154.07999999999998,0
