,pitch_type,game_date,player_name,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,type,hit_location,bb_type,events,description,des,balls,strikes,pitch_count,zone,is_strike,swing_miss,first_pitch_take,first_pitch_swing,in_zone_take,out_of_zone_chase,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,stand,p_throws,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,batter,pitcher,home_team,away_team,if_fielding_alignment,of_fielding_alignment,game_pk,at_bat_number,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,delta_home_win_exp,delta_run_exp,game_year
10,FF,2021-10-02,"Harper, Bryce",,,,,,,,,,,,,B,,,,ball,Bryce Harper strikes out swinging.,2,2,2-2,11,0,0,0,0,0,0,96.7,2146.0,138.0,1.13,-13.559999999999999,15.72,1.67,6.2,94.9,5.3,55.19,0.4,-0.4,3.83,,,,0,6,Top,656577,-7.943640117868707,-140.60355941154822,-3.666616181135305,16.838850395287697,32.12257899515887,-14.171648744587124,3.0,1.47,L,L,96.7,2146.0,138.0,1.13,-13.559999999999999,15.72,1.67,6.2,94.9,5.3,55.19,0.4,-0.4,3.83,547180,666200,MIA,PHI,Strategic,Standard,632263,42,6,4-Seam Fastball,3,1,1,3,0.0,0.101,2021
11,CU,2021-10-02,"Harper, Bryce",79.4,-31.0,4.0,,,,,,,,,,S,,,,foul,Bryce Harper strikes out swinging.,2,2,2-2,5,1,0,0,0,0,0,83.4,2269.0,26.0,-0.02,0.24,0.0,1.99,5.89,82.1,5.4,55.15,-0.01,0.01,2.2,,,,0,6,Top,656577,-4.430449404248224,-121.4533860122095,-2.0431173227156902,0.6425716240114128,23.653549211220582,-31.93757085822237,3.49,1.6,L,L,83.4,2269.0,26.0,-0.02,0.24,0.0,1.99,5.89,82.1,5.4,55.15,-0.01,0.01,2.2,547180,666200,MIA,PHI,Strategic,Standard,632263,42,5,Curveball,3,1,1,3,0.0,0.0,2021
12,CU,2021-10-02,"Harper, Bryce",,,,,,,,,,,,,B,,,,ball,Bryce Harper strikes out swinging.,1,2,1-2,11,0,0,0,0,0,0,84.8,2138.0,82.0,0.04,-0.48,3.7199999999999998,2.01,5.96,84.5,5.8,54.65,0.3,-0.3,3.53,,,,0,6,Top,656577,-5.4310159154822,-123.48683935429904,-0.0417910265674964,1.3819730382992326,22.36830462001735,-29.17690243009048,3.07,1.5,L,L,84.8,2138.0,82.0,0.04,-0.48,3.7199999999999998,2.01,5.96,84.5,5.8,54.65,0.3,-0.3,3.53,547180,666200,MIA,PHI,Strategic,Standard,632263,42,4,Curveball,3,1,1,3,0.0,0.043,2021
13,FF,2021-10-02,"Harper, Bryce",,,,,,,,,,,,,B,,,,ball,Bryce Harper strikes out swinging.,0,2,0-2,11,0,0,0,0,0,0,97.1,2292.0,130.0,1.2,-14.399999999999999,17.16,1.96,5.99,95.3,5.5,54.99,0.93,-0.93,4.13,,,,0,6,Top,656577,-10.270747253729835,-140.95944969045962,-2.646724132725775,18.34456799803661,33.67347731469295,-12.696762859505064,3.28,1.52,L,L,97.1,2292.0,130.0,1.2,-14.399999999999999,17.16,1.96,5.99,95.3,5.5,54.99,0.93,-0.93,4.13,547180,666200,MIA,PHI,Strategic,Standard,632263,42,3,4-Seam Fastball,3,1,1,3,0.0,0.022,2021
14,CU,2021-10-02,"Harper, Bryce",92.4,37.0,311.0,,,,,,,,,,S,,,,foul,Bryce Harper strikes out swinging.,0,1,0-1,2,1,0,0,0,0,0,84.1,2192.0,211.0,-0.09,1.08,3.0,1.84,5.9,82.6,5.3,55.21,-0.08,0.08,3.21,,,,0,6,Top,656577,-3.8535834172757695,-122.47250747043128,-0.3458402328727326,-0.1166620065114443,24.719745344331105,-29.812756505043566,3.49,1.6,L,L,84.1,2192.0,211.0,-0.09,1.08,3.0,1.84,5.9,82.6,5.3,55.21,-0.08,0.08,3.21,547180,666200,MIA,PHI,Infield shift,Standard,632263,42,2,Curveball,3,1,1,3,0.0,-0.052,2021
15,SI,2021-10-02,"Harper, Bryce",,,,,,,,,,,,,S,,,,swinging_strike,Bryce Harper strikes out swinging.,0,0,0-0,3,1,1,0,1,0,0,95.1,2293.0,129.0,1.3,-15.600000000000001,13.919999999999998,2.16,5.91,93.2,5.3,55.18,-0.8,0.8,3.55,,,,0,6,Top,656577,-6.344462433056214,-138.28183377637757,-3.051761983957713,18.078467367948267,32.30795120121632,-16.86815033224918,3.49,1.6,L,L,95.1,2293.0,129.0,1.3,-15.600000000000001,13.919999999999998,2.16,5.91,93.2,5.3,55.18,-0.8,0.8,3.55,547180,666200,MIA,PHI,Infield shift,Standard,632263,42,1,Sinker,3,1,1,3,0.0,-0.038,2021
16,CU,2021-10-02,"Harper, Bryce",36.5,-7.0,15.0,116.26,192.05,0.237,0.229,0.9,1.0,1.0,0.0,1.0,X,5.0,ground_ball,single,hit_into_play,Bryce Harper singles on a soft bunt ground ball to third baseman Eddy Alvarez.,0,1,0-1,3,1,0,0,0,0,0,83.0,2008.0,130.0,0.09,-1.08,2.2800000000000002,2.03,5.97,82.1,5.4,55.13,-0.51,0.51,3.04,,,,1,4,Top,656577,-3.5944129333040804,-120.99544980143304,-0.6916226725026482,1.5321629948266953,21.507427636217383,-30.364088777676464,3.49,1.6,L,L,83.0,2008.0,130.0,0.09,-1.08,2.2800000000000002,2.03,5.97,82.1,5.4,55.13,-0.51,0.51,3.04,547180,666200,MIA,PHI,Infield shift,Standard,632263,26,2,Curveball,3,0,0,3,-0.024,0.082,2021
17,SI,2021-10-02,"Harper, Bryce",,,,,,,,,,,,,S,,,,called_strike,Bryce Harper singles on a soft bunt ground ball to third baseman Eddy Alvarez.,0,0,0-0,4,1,0,1,0,1,0,96.5,2327.0,129.0,1.33,-15.96,17.16,1.93,5.94,94.8,5.6,54.93,0.59,-0.59,2.37,,,,1,4,Top,656577,-9.55895462462732,-140.04665427298806,-7.0096825724168585,19.66355412985377,33.29794012841882,-11.924046307064438,3.35,1.54,L,L,96.5,2327.0,129.0,1.33,-15.96,17.16,1.93,5.94,94.8,5.6,54.93,0.59,-0.59,2.37,547180,666200,MIA,PHI,Infield shift,Standard,632263,26,1,Sinker,3,0,0,3,0.0,-0.027,2021
18,SI,2021-10-02,"Harper, Bryce",,,,,,,,0.0,1.0,0.0,0.0,,S,2.0,,strikeout,called_strike,Bryce Harper called out on strikes.,2,2,2-2,6,1,0,0,0,1,0,98.4,2100.0,236.0,-1.39,16.68,0.0,-1.12,5.91,96.7,5.7,54.83,-0.57,0.57,2.41,,,664761.0,2,8,Top,656577,7.701196121242113,-143.04128400870565,-3.94035396981828,-20.893266160440948,36.90394923690463,-31.41113161451886,3.27,1.53,L,R,98.4,2100.0,236.0,-1.39,16.68,0.0,-1.12,5.91,96.7,5.7,54.83,-0.57,0.57,2.41,547180,669622,MIA,PHI,Infield shift,Standard,632263,57,5,Sinker,3,1,1,3,0.034,-0.192,2021
19,SL,2021-10-02,"Harper, Bryce",73.6,52.0,201.0,,,,,,,,,,S,,,,foul,Bryce Harper called out on strikes.,2,1,2-1,5,1,0,0,0,0,0,82.9,2391.0,57.0,0.73,-8.76,-1.92,-1.39,5.69,82.4,5.8,54.67,0.23,-0.23,2.29,,,664761.0,2,8,Top,656577,1.2069851517860182,-120.8111072702892,-1.0285026223987337,6.957765364856285,23.287436909392294,-33.749015644289166,3.49,1.6,L,R,82.9,2391.0,57.0,0.73,-8.76,-1.92,-1.39,5.69,82.4,5.8,54.67,0.23,-0.23,2.29,547180,669622,MIA,PHI,Infield shift,Strategic,632263,57,4,Slider,3,1,1,3,0.0,-0.063,2021
