,pitch_type,game_date,player_name,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,type,hit_location,bb_type,events,description,des,balls,strikes,pitch_count,zone,is_strike,swing_miss,first_pitch_take,first_pitch_swing,in_zone_take,out_of_zone_chase,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,stand,p_throws,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,batter,pitcher,home_team,away_team,if_fielding_alignment,of_fielding_alignment,game_pk,at_bat_number,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,delta_home_win_exp,delta_run_exp,game_year
10,FC,2021-10-03,"Gallo, Joey",,,,,,,,,,,,,S,,,,called_strike,Joey Gallo called out on strikes.,0,0,0-0,1.0,1,0,1,0,1,0,89.7,2597.0,204.0,0.03,-0.36,7.199999999999999,-2.27,5.3,90.8,6.6,53.87,0.7,-0.7,3.15,,,,2,7,Bot,572287,3.840442982362052,-130.70540578529543,-0.677942686199946,-0.3457871082389486,24.55834864931216,-25.273326263113635,3.51,1.68,L,R,89.7,2597.0,204.0,0.03,-0.36,7.199999999999999,-2.27,5.3,90.8,6.6,53.87,0.7,-0.7,3.15,608336,543521,NYY,TB,Strategic,4th outfielder,632239,51,1,Cutter,0,0,0,0,0.0,-0.018,2021
11,FF,2021-10-02,"Gallo, Joey",,,,,,,,0.0,1.0,0.0,0.0,,S,2.0,,strikeout,swinging_strike,Joey Gallo strikes out swinging.,2,2,2-2,11.0,1,1,0,0,0,1,98.4,2525.0,222.0,-0.76,9.120000000000001,18.84,-1.66,5.59,98.5,6.6,53.93,0.89,-0.89,3.84,,,592450.0,2,1,Bot,572287,3.8728537008412,-143.15222210333374,-2.8794220526754635,-11.364512121922507,36.06355652652308,-10.194748191073453,3.58,1.68,L,R,98.4,2525.0,222.0,-0.76,9.120000000000001,18.84,-1.66,5.59,98.5,6.6,53.93,0.89,-0.89,3.84,608336,669358,NYY,TB,Infield shift,Standard,632259,11,5,4-Seam Fastball,1,3,3,1,-0.023,-0.192,2021
12,CU,2021-10-02,"Gallo, Joey",,,,,,,,,,,,,B,,,,ball,Joey Gallo strikes out swinging.,1,2,1-2,13.0,0,0,0,0,0,0,84.9,2777.0,31.0,0.57,-6.84,-15.600000000000001,-1.58,5.6,84.8,6.6,53.94,0.94,-0.94,0.83,,,592450.0,2,1,Bot,572287,0.3618711554298461,-123.60941846491896,-2.157979764039475,5.734067680282161,28.858283241481946,-45.03351535960242,3.3,1.53,L,R,84.9,2777.0,31.0,0.57,-6.84,-15.600000000000001,-1.58,5.6,84.8,6.6,53.94,0.94,-0.94,0.83,608336,669358,NYY,TB,Infield shift,Standard,632259,11,4,Curveball,1,3,3,1,0.0,0.037,2021
13,CU,2021-10-02,"Gallo, Joey",,,,,,,,,,,,,S,,,,foul,Joey Gallo strikes out swinging.,1,1,1-1,8.0,1,0,0,0,0,0,82.5,2652.0,34.0,0.82,-9.84,-11.76,-1.65,5.63,82.4,6.5,54.03,-0.02,0.02,1.91,,,592450.0,2,1,Bot,572287,2.212761997023515,-120.05190094431131,0.0485371299690999,7.376203833324923,25.99358747826144,-41.846947661753134,3.58,1.68,L,R,82.5,2652.0,34.0,0.82,-9.84,-11.76,-1.65,5.63,82.4,6.5,54.03,-0.02,0.02,1.91,608336,669358,NYY,TB,Infield shift,Standard,632259,11,3,Curveball,1,3,3,1,0.0,-0.059,2021
14,FF,2021-10-02,"Gallo, Joey",,,,,,,,,,,,,B,,,,ball,Joey Gallo strikes out swinging.,0,1,0-1,11.0,0,0,0,0,0,0,96.6,2352.0,225.0,-1.23,14.76,13.200000000000001,-1.76,5.58,97.1,6.7,53.82,1.55,-1.55,3.77,,,592450.0,2,1,Bot,572287,3.378090911547805,-140.5843016455584,-1.7332067252591408,-17.053836372119452,33.629258211625526,-17.4707057590248,3.48,1.64,L,R,96.6,2352.0,225.0,-1.23,14.76,13.200000000000001,-1.76,5.58,97.1,6.7,53.82,1.55,-1.55,3.77,608336,669358,NYY,TB,Infield shift,Standard,632259,11,2,4-Seam Fastball,1,3,3,1,0.0,0.029,2021
15,FF,2021-10-02,"Gallo, Joey",,,,,,,,,,,,,S,,,,foul,Joey Gallo strikes out swinging.,0,0,0-0,5.0,1,0,0,0,0,0,96.3,2440.0,219.0,-1.12,13.440000000000001,15.120000000000001,-1.88,5.44,96.7,6.7,53.78,0.13,-0.13,2.87,,,592450.0,2,1,Bot,572287,7.232491957819437,-139.9615157708097,-4.083892025978692,-16.333856052484585,33.86743119960776,-14.868059793387536,3.58,1.68,L,R,96.3,2440.0,219.0,-1.12,13.440000000000001,15.120000000000001,-1.88,5.44,96.7,6.7,53.78,0.13,-0.13,2.87,608336,669358,NYY,TB,Infield shift,Standard,632259,11,1,4-Seam Fastball,1,3,3,1,0.0,-0.041,2021
16,CH,2021-10-02,"Gallo, Joey",59.9,-34.0,3.0,151.5,178.9,0.057,0.051,0.0,1.0,0.0,0.0,2.0,X,3.0,ground_ball,out,hit_into_play,Joey Gallo grounds out softly to first baseman Francisco Mejia.,2,2,2-2,7.0,1,0,0,0,0,0,88.4,1593.0,215.0,-1.06,12.72,12.48,-1.8,5.75,89.6,7.0,53.47,0.73,-0.73,1.85,,,,1,6,Bot,572287,4.878401459420365,-128.54909799905386,-5.6613195573429085,-12.750169539546167,26.102667299963645,-19.61385445491028,3.58,1.68,L,R,88.4,1593.0,215.0,-1.06,12.72,12.48,-1.8,5.75,89.6,7.0,53.47,0.73,-0.73,1.85,608336,672715,NYY,TB,Infield shift,4th outfielder,632259,54,6,Changeup,2,8,8,2,-0.004,-0.142,2021
17,FF,2021-10-02,"Gallo, Joey",82.3,27.0,257.0,,,,,,,,,,S,,,,foul,Joey Gallo grounds out softly to first baseman Francisco Mejia.,2,2,2-2,5.0,1,0,0,0,0,0,97.9,2509.0,203.0,-0.54,6.48,19.32,-1.8,6.0,98.2,6.6,53.94,0.07,-0.07,2.99,,,,1,6,Bot,572287,5.9543420898200825,-142.345340310832,-6.3729208032069975,-8.77609354000968,33.73322953397911,-9.028330037160682,3.58,1.68,L,R,97.9,2509.0,203.0,-0.54,6.48,19.32,-1.8,6.0,98.2,6.6,53.94,0.07,-0.07,2.99,608336,672715,NYY,TB,Infield shift,4th outfielder,632259,54,5,4-Seam Fastball,2,8,8,2,0.0,0.0,2021
18,FF,2021-10-02,"Gallo, Joey",,,,,,,,,,,,,B,,,,ball,Joey Gallo grounds out softly to first baseman Francisco Mejia.,1,2,1-2,11.0,0,0,0,0,0,0,97.1,2509.0,203.0,-0.58,6.959999999999999,19.56,-1.95,6.09,96.4,6.0,54.46,1.25,-1.25,4.08,,,,1,6,Bot,572287,3.188969091808875,-141.33873722083004,-3.5389753428567667,-8.541079801263566,34.22554152645992,-9.775814804465677,3.5,1.52,L,R,97.1,2509.0,203.0,-0.58,6.959999999999999,19.56,-1.95,6.09,96.4,6.0,54.46,1.25,-1.25,4.08,608336,672715,NYY,TB,Infield shift,4th outfielder,632259,54,4,4-Seam Fastball,2,8,8,2,0.0,0.028,2021
19,FF,2021-10-02,"Gallo, Joey",83.3,9.0,131.0,,,,,,,,,,S,,,,foul,Joey Gallo grounds out softly to first baseman Francisco Mejia.,1,1,1-1,6.0,1,0,0,0,0,0,97.1,2423.0,205.0,-0.3,3.5999999999999996,19.56,-1.97,5.98,97.6,6.6,53.87,-0.39,0.39,2.7,,,,1,6,Bot,572287,7.053328298155937,-141.15961488741013,-7.024038312578131,-5.682448264523639,32.1485987601888,-8.934392975126379,3.58,1.68,L,R,97.1,2423.0,205.0,-0.3,3.5999999999999996,19.56,-1.97,5.98,97.6,6.6,53.87,-0.39,0.39,2.7,608336,672715,NYY,TB,Strategic,4th outfielder,632259,54,3,4-Seam Fastball,2,8,8,2,0.0,-0.043,2021
