,pitch_type,game_date,player_name,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,type,hit_location,bb_type,events,description,des,balls,strikes,pitch_count,zone,is_strike,swing_miss,first_pitch_take,first_pitch_swing,in_zone_take,out_of_zone_chase,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,stand,p_throws,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,batter,pitcher,home_team,away_team,if_fielding_alignment,of_fielding_alignment,game_pk,at_bat_number,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,delta_home_win_exp,delta_run_exp,game_year
10,SI,2021-10-03,"Swanson, Dansby",38.2,28.0,73.0,,,,,,,,,,S,,,,foul,"Dansby Swanson grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",1,2,1-2,13,1,0,0,0,0,0,89.4,2024.0,225.0,-1.24,14.879999999999999,2.04,-2.33,4.94,90.0,6.9,53.65,0.79,-0.79,1.28,,,,2,2,Bot,664850,6.479449070420624,-130.02728410879445,-3.3667758669929,-15.494622924569343,28.90339979695068,-29.672888357492965,3.41,1.56,R,R,89.4,2024.0,225.0,-1.24,14.879999999999999,2.04,-2.33,4.94,90.0,6.9,53.65,0.79,-0.79,1.28,621020,592866,ATL,NYM,Infield shift,Standard,632254,14,4,Sinker,2,0,0,2,0.0,0.0,2021
11,FF,2021-10-03,"Swanson, Dansby",,,,,,,,,,,,,B,,,,ball,"Dansby Swanson grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",0,2,0-2,12,0,0,0,0,0,0,94.1,2306.0,218.0,-0.57,6.84,13.559999999999999,-1.96,5.34,95.2,6.8,53.66,-1.11,1.11,2.75,,,,2,2,Bot,664850,9.320912292402028,-136.84801264814965,-3.5596045154121194,-9.11762022614748,28.782961005655185,-17.40092693002969,3.6,1.67,R,R,94.1,2306.0,218.0,-0.57,6.84,13.559999999999999,-1.96,5.34,95.2,6.8,53.66,-1.11,1.11,2.75,621020,592866,ATL,NYM,Infield shift,Standard,632254,14,3,4-Seam Fastball,2,0,0,2,0.0,0.011,2021
12,FF,2021-10-03,"Swanson, Dansby",,,,,,,,,,,,,S,,,,called_strike,"Dansby Swanson grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",0,1,0-1,14,1,0,0,0,0,0,93.3,2312.0,227.0,-0.46,5.5200000000000005,13.68,-2.25,5.18,94.2,6.8,53.74,-0.83,0.83,2.52,,,,2,2,Bot,664850,9.001584049683673,-135.58705766631766,-3.615606288520915,-7.514949721578048,28.052758091533374,-17.469935428058214,3.66,1.72,R,R,93.3,2312.0,227.0,-0.46,5.5200000000000005,13.68,-2.25,5.18,94.2,6.8,53.74,-0.83,0.83,2.52,621020,592866,ATL,NYM,Infield shift,Standard,632254,14,2,4-Seam Fastball,2,0,0,2,0.0,-0.024,2021
13,FF,2021-10-03,"Swanson, Dansby",,,,,,,,,,,,,S,,,,called_strike,"Dansby Swanson grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",0,0,0-0,7,1,0,1,0,1,0,94.0,2304.0,224.0,-0.84,10.08,13.919999999999998,-2.18,5.19,95.0,6.8,53.65,0.37,-0.37,1.67,,,,2,2,Bot,664850,6.614542929272307,-136.72360689959072,-6.040963664518427,-11.980307733265718,29.830080163834133,-16.473192863147894,3.67,1.7,R,R,94.0,2304.0,224.0,-0.84,10.08,13.919999999999998,-2.18,5.19,95.0,6.8,53.65,0.37,-0.37,1.67,621020,592866,ATL,NYM,Infield shift,Standard,632254,14,1,4-Seam Fastball,2,0,0,2,0.0,-0.018,2021
14,CH,2021-10-02,"Swanson, Dansby",74.4,14.0,137.0,120.41,146.64,0.466,0.419,0.0,1.0,0.0,0.0,4.0,X,4.0,line_drive,out,hit_into_play,Dansby Swanson lines out to second baseman Luis Guillorme.,1,1,1-1,9,1,0,0,0,0,0,84.9,948.0,247.0,-0.58,6.959999999999999,0.6000000000000001,-1.26,5.74,85.4,6.6,53.92,-0.42,0.42,1.57,,606115.0,518692.0,1,5,Bot,543510,5.118794105331533,-123.58813101108504,-3.571979787382268,-6.917237229552546,24.54932488165233,-31.12766463498172,3.41,1.56,R,R,84.9,948.0,247.0,-0.58,6.959999999999999,0.6000000000000001,-1.26,5.74,85.4,6.6,53.92,-0.42,0.42,1.57,621020,471911,ATL,NYM,Infield shift,Standard,632262,41,3,Changeup,4,0,0,4,-0.009,-0.459,2021
15,SI,2021-10-02,"Swanson, Dansby",,,,,,,,,,,,,B,,,,ball,Dansby Swanson lines out to second baseman Luis Guillorme.,0,1,0-1,11,0,0,0,0,0,0,91.0,2038.0,219.0,-1.51,18.12,7.68,-1.19,5.8,91.1,6.6,53.93,0.91,-0.91,3.57,,606115.0,518692.0,1,5,Bot,543510,3.9671158566870366,-132.4624057358453,-0.9980340020476444,-18.608445023684663,31.58117426247735,-24.714618201183164,3.44,1.56,R,R,91.0,2038.0,219.0,-1.51,18.12,7.68,-1.19,5.8,91.1,6.6,53.93,0.91,-0.91,3.57,621020,471911,ATL,NYM,Infield shift,Standard,632262,41,2,Sinker,4,0,0,4,0.0,0.058,2021
16,SI,2021-10-02,"Swanson, Dansby",,,,,,,,,,,,,S,,,,swinging_strike,Dansby Swanson lines out to second baseman Luis Guillorme.,0,0,0-0,5,1,1,0,1,0,0,91.9,2040.0,221.0,-1.18,14.16,8.040000000000001,-1.03,5.77,92.2,6.7,53.82,-0.14,0.14,2.33,,606115.0,518692.0,1,5,Bot,543510,5.563881495666487,-133.61886420896516,-4.30261105387368,-15.353044877937265,30.7419870999814,-23.39334931849147,3.41,1.56,R,R,91.9,2040.0,221.0,-1.18,14.16,8.040000000000001,-1.03,5.77,92.2,6.7,53.82,-0.14,0.14,2.33,621020,471911,ATL,NYM,Infield shift,Standard,632262,41,1,Sinker,4,0,0,4,0.0,-0.072,2021
17,SL,2021-10-02,"Swanson, Dansby",,,,,,,,0.0,1.0,0.0,0.0,,S,2.0,,strikeout,swinging_strike,Dansby Swanson strikes out swinging.,0,2,0-2,6,1,1,0,0,0,0,89.8,2376.0,215.0,-0.65,7.800000000000001,11.16,-1.21,5.7,90.8,6.7,53.79,-0.5,0.5,2.33,,,518692.0,2,3,Bot,543510,5.64543559469257,-130.7331179578961,-4.39479753084247,-8.611662189873668,25.867009844516577,-20.77678535577618,3.41,1.56,R,R,89.8,2376.0,215.0,-0.65,7.800000000000001,11.16,-1.21,5.7,90.8,6.7,53.79,-0.5,0.5,2.33,621020,471911,ATL,NYM,Infield shift,Standard,632262,23,3,Slider,2,0,0,2,-0.016,-0.138,2021
18,FF,2021-10-02,"Swanson, Dansby",78.0,44.0,267.0,,,,,,,,,,S,,,,foul,Dansby Swanson strikes out swinging.,0,1,0-1,3,1,0,0,0,0,0,93.2,2360.0,217.0,-0.61,7.32,15.120000000000001,-0.87,5.92,94.1,6.8,53.74,-0.47,0.47,3.22,,,518692.0,2,3,Bot,543510,4.835580642381143,-135.68461173038173,-4.01074496221716,-8.630410138597949,28.86639722454928,-15.942741846092073,3.41,1.56,R,R,93.2,2360.0,217.0,-0.61,7.32,15.120000000000001,-0.87,5.92,94.1,6.8,53.74,-0.47,0.47,3.22,621020,471911,ATL,NYM,Infield shift,Standard,632262,23,2,4-Seam Fastball,2,0,0,2,0.0,-0.047,2021
19,FF,2021-10-02,"Swanson, Dansby",,,,,,,,,,,,,S,,,,swinging_strike,Dansby Swanson strikes out swinging.,0,0,0-0,2,1,1,0,1,0,0,93.8,2323.0,220.0,-0.64,7.68,15.84,-1.02,5.87,94.5,6.6,53.89,0.27,-0.27,3.09,,,518692.0,2,3,Bot,543510,3.386743083055813,-136.60689684886617,-4.448952266379319,-8.805280355512965,29.79797457080218,-14.823623809627833,3.41,1.56,R,R,93.8,2323.0,220.0,-0.64,7.68,15.84,-1.02,5.87,94.5,6.6,53.89,0.27,-0.27,3.09,621020,471911,ATL,NYM,Infield shift,Standard,632262,23,1,4-Seam Fastball,2,0,0,2,0.0,-0.041,2021
